emuIRN,curatorial_section,object_number,object_name,native_name,culture,provenience,material,period,date_made,date_made_early,date_made_late,accession_credit_line,creator,description,manufacture_locationlocus,culture_area,technique,iconography,measurement_height,measurement_length,measurement_width,measurement_outside_diameter,measurement_tickness,measurement_unit,other_numbers,url
368055,European,40-10-291,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1235 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1235,http://www.penn.museum/collections/object/368055
347525,European,65-25-61,Celt,,,France,Bronze,,,,,"Exchange with Peabody Museum, Harvard, 1965",,Bronze celt,,,,,,,,,,,E 2189|40/12.10,http://www.penn.museum/collections/object/347525
368056,European,40-10-292,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1216 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1216,http://www.penn.museum/collections/object/368056
368057,European,40-10-293,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1215 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1215,http://www.penn.museum/collections/object/368057
368058,European,40-10-294,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1220 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1220,http://www.penn.museum/collections/object/368058
368059,European,40-10-295,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1214 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1214,http://www.penn.museum/collections/object/368059
368060,European,40-10-296,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1207 (?) written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1207 (?),http://www.penn.museum/collections/object/368060
368061,European,40-10-297,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1253 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1253,http://www.penn.museum/collections/object/368061
368062,European,40-10-298,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1213 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1213,http://www.penn.museum/collections/object/368062
368063,European,40-10-299,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1225 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1225,http://www.penn.museum/collections/object/368063
368064,European,40-10-300,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1232 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1232,http://www.penn.museum/collections/object/368064
368065,European,40-10-301,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1234 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1234,http://www.penn.museum/collections/object/368065
368066,European,40-10-302,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1212 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1212,http://www.penn.museum/collections/object/368066
368067,European,40-10-303,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1206 (?) written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1206 (?),http://www.penn.museum/collections/object/368067
368068,European,40-10-304,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1209 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1209,http://www.penn.museum/collections/object/368068
368069,European,40-10-305,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1229 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1229,http://www.penn.museum/collections/object/368069
368070,European,40-10-306,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1218 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1218,http://www.penn.museum/collections/object/368070
368071,European,40-10-307,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1207 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1207,http://www.penn.museum/collections/object/368071
368072,European,40-10-308,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1205 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1205,http://www.penn.museum/collections/object/368072
368073,European,40-10-309,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1206 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1206,http://www.penn.museum/collections/object/368073
368074,European,40-10-310,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1231 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1231,http://www.penn.museum/collections/object/368074
368075,European,40-10-311,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1221 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1221,http://www.penn.museum/collections/object/368075
355235,European,40-10-313,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1224 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1224,http://www.penn.museum/collections/object/355235
352713,European,40-10-314,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1224 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1244,http://www.penn.museum/collections/object/352713
150207,European,29-29-1294A,Fibula (Pin),,Iron Age|La Tene,Bohemia|Kladno|Okor,Bronze,Iron Age,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,one of 7 fragments of bronze fibula.,,,,,,,,,,,,http://www.penn.museum/collections/object/150207
349663,European,40-10-315,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1240 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1240,http://www.penn.museum/collections/object/349663
347122,European,40-10-316,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1227 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1227,http://www.penn.museum/collections/object/347122
348467,European,40-10-317,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1201 (?) written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1201 (?),http://www.penn.museum/collections/object/348467
368077,European,40-10-318,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1241 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1241,http://www.penn.museum/collections/object/368077
368078,European,40-10-319,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1247 written on object in black ink<br /><br />Animal bone,,,,,,,,,,,1247,http://www.penn.museum/collections/object/368078
368079,European,40-10-320,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1239 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1239,http://www.penn.museum/collections/object/368079
368080,European,40-10-321,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1211 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1211,http://www.penn.museum/collections/object/368080
368081,European,40-10-322,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1230 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1230,http://www.penn.museum/collections/object/368081
368082,European,40-10-323,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1200 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1200,http://www.penn.museum/collections/object/368082
368083,European,40-10-324,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1202 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1202,http://www.penn.museum/collections/object/368083
368084,European,40-10-325,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1248 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1248,http://www.penn.museum/collections/object/368084
368085,European,40-10-326,Animal Bone,,Upper Mousterian,France|Dordogne|Castlemerle,Animal Bone,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1222 written on object in black ink.<br /><br />Animal bone,,,,,,,,,,,1222,http://www.penn.museum/collections/object/368085
364487,European,12117,Knee Guard,,English,England|Suffolk|Brandon,Leather,Modern,1893,1893,1893,"Gift of Henry C. Mercer, 1893",,Flint Knapper's Knee Guard,,,,,,,,,,,,http://www.penn.museum/collections/object/364487
368240,European,40-10-517,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368240
368241,European,40-10-518,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368241
368272,European,40-10-558,Bone Fragment,,Aurignacian,France|Dordogne|La Souquette,Bone,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Worked,,,,,,,,,,,,http://www.penn.museum/collections/object/368272
368262,European,40-10-532,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368262
368263,European,40-10-537,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368263
368265,European,40-10-538,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368265
354639,European,40-10-551,Point Fragment,,Aurignacian,France|Dordogne|La Souquette,Bone,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Fragment of a bone point,,,,,,,,,,,,http://www.penn.museum/collections/object/354639
345921,European,40-10-552,Point Fragment,,Aurignacian,France|Dordogne|La Souquette,Bone,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Fragment of a bone point,,,,,,,,,,,,http://www.penn.museum/collections/object/345921
368260,European,40-10-533,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368260
368254,European,40-10-534,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368254
368231,European,40-10-508,Animal Tooth,,Aurignacian,France|Dordogne|Les Eyzies,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368231
368232,European,40-10-509,Animal Tooth,,Aurignacian,France|Dordogne|Les Eyzies,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368232
368264,European,40-10-535,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368264
368258,European,40-10-536,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368258
368255,European,40-10-543,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368255
368259,European,40-10-544,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368259
368253,European,40-10-530,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368253
368215,European,40-10-491,Animal Tooth,,Mousterian,France|Pech de Bourre,Animal Tooth,Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Bos primigenius,,,,,,,,,,,,http://www.penn.museum/collections/object/368215
368247,European,40-10-525,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368247
368249,European,40-10-526,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368249
368120,European,40-10-363,Reindeer Tooth,,Aurignacian,France|Dordogne|Castlemerle,Reindeer Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Reindeer Tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368120
348000,European,40-10-547,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/348000
368256,European,40-10-548,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368256
368269,European,40-10-545,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368269
347999,European,40-10-546,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/347999
368233,European,40-10-510,Animal Tooth,,Aurignacian,France|Dordogne|Les Eyzies,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368233
368239,European,40-10-516,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368239
368261,European,40-10-541,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368261
368268,European,40-10-542,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368268
368266,European,40-10-539,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368266
368267,European,40-10-540,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368267
345922,European,40-10-553,Point Fragment,,Aurignacian,France|Dordogne|La Souquette,Bone,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Fragment of a bone point,,,,,,,,,,,,http://www.penn.museum/collections/object/345922
368222,European,40-10-499,Animal Bone,,Aurignacian,France|Dordogne|Les Eyzies,Animal Bone,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Animal bone,,,,,,,,,,,,http://www.penn.museum/collections/object/368222
351213,European,40-10-555,Animal Bone,,Aurignacian,France|Dordogne|La Souquette,Animal Bone,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,fragment,,,,,,,,,,,,http://www.penn.museum/collections/object/351213
368270,European,40-10-556,Bone Fragment,,Aurignacian,France|Dordogne|La Souquette,Bone,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Worked,,,,,,,,,,,,http://www.penn.museum/collections/object/368270
368242,European,40-10-519,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368242
368243,European,40-10-520,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368243
368227,European,40-10-504,Animal Bone,,Aurignacian,France|Dordogne|Les Eyzies,Animal Bone,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Animal bone,,,,,,,,,,,,http://www.penn.museum/collections/object/368227
368228,European,40-10-505,Animal Tooth,,Aurignacian,France|Dordogne|Les Eyzies,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368228
368244,European,40-10-521,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368244
368245,European,40-10-522,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368245
368214,European,40-10-490,Animal Tooth,,Mousterian,France|Pech de Bourre,Animal Tooth,Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Bos primigenius,,,,,,,,,,,,http://www.penn.museum/collections/object/368214
368248,European,40-10-523,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368248
368246,European,40-10-524,Animal Tooth,,Aurignacian,France|Dordogne|La Souquette,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368246
368229,European,40-10-506,Animal Tooth,,Aurignacian,France|Dordogne|Les Eyzies,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368229
368230,European,40-10-507,Animal Tooth,,Aurignacian,France|Dordogne|Les Eyzies,Animal Tooth,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Animal tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368230
368213,European,40-10-489,Horse Tooth,,Mousterian,France|Pech de Bourre,Horse Tooth,Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Broken at one end.,,,,,,,,,,,,http://www.penn.museum/collections/object/368213
368103,European,40-10-346,Reindeer Tooth,,Upper Mousterian,France|Dordogne|Castlemerle,Reindeer Tooth,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Reindeer tooth,,,,,,,,,,,,http://www.penn.museum/collections/object/368103
368225,European,40-10-502,Animal Bone,,Aurignacian,France|Dordogne|Les Eyzies,Animal Bone,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Animal bone,,,,,,,,,,,,http://www.penn.museum/collections/object/368225
368226,European,40-10-503,Animal Bone,,Aurignacian,France|Dordogne|Les Eyzies,Animal Bone,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Animal bone,,,,,,,,,,,,http://www.penn.museum/collections/object/368226
368223,European,40-10-500,Animal Bone,,Aurignacian,France|Dordogne|Les Eyzies,Animal Bone,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Animal bone,,,,,,,,,,,,http://www.penn.museum/collections/object/368223
368224,European,40-10-501,Animal Bone,,Aurignacian,France|Dordogne|Les Eyzies,Animal Bone,Aurignacian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Animal bone,,,,,,,,,,,,http://www.penn.museum/collections/object/368224
368086,European,40-10-327,Reindeer Antler,,Upper Mousterian,France|Dordogne|Castlemerle,Reindeer Antler,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1228 written on object in black ink.<br /><br />Reindeer Antler,,,,,,,,,,,1228,http://www.penn.museum/collections/object/368086
368087,European,40-10-328,Reindeer Antler,,Upper Mousterian,France|Dordogne|Castlemerle,Reindeer Antler,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Number 1226 written on object in black ink.<br /><br />Reindeer Antler,,,,,,,,,,,1226,http://www.penn.museum/collections/object/368087
368088,European,40-10-329,Horse Tooth,,Upper Mousterian,France|Dordogne|Castlemerle,Horse Tooth,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Horse tooth,,,,,,,,,,,U,http://www.penn.museum/collections/object/368088
368089,European,40-10-330,Horse Tooth,,Upper Mousterian,France|Dordogne|Castlemerle,Horse Tooth,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Horse tooth,,,,,,,,,,,U,http://www.penn.museum/collections/object/368089
368090,European,40-10-331,Horse Tooth,,Upper Mousterian,France|Dordogne|Castlemerle,Horse Tooth,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Horse tooth,,,,,,,,,,,U,http://www.penn.museum/collections/object/368090
368091,European,40-10-332,Horse Tooth,,Upper Mousterian,France|Dordogne|Castlemerle,Horse Tooth,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Horse tooth,,,,,,,,,,,U,http://www.penn.museum/collections/object/368091
368092,European,40-10-333,Horse Tooth,,Upper Mousterian,France|Dordogne|Castlemerle,Horse Tooth,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Horse tooth,,,,,,,,,,,U,http://www.penn.museum/collections/object/368092
368093,European,40-10-334,Horse Tooth,,Upper Mousterian,France|Dordogne|Castlemerle,Horse Tooth,Upper Mousterian,,,,"Gift of University of Pennsylvania Department of Anthropology through Dr. Speck, 1940",,Horse tooth,,,,,,,,,,,U,http://www.penn.museum/collections/object/368093
